Item ID;Part Number;NSN;Nama Barang;PN Lama;Nama Lama;Gudang;Rak;Jumlah;Satuan;Harga Satuan;Komoditi;Komponen;Transaksi Terakhir;Lanud/Depo;Status;Keterangan
IT-100145085;316-1616-634;5999-AU-PAC-1091;CONTACT;;;TB SATHAR 13;;0;EA;;;Y;;DEPO 10;ACTIVE;
IT-100145085;316-1616-634;5999-AU-PAC-1091;CONTACT;;;TB SATHAR 14;;0;EA;;;Y;;DEPO 10;ACTIVE;
IT-100145087;412N1126-1;5315-AU-PAC-1093;PIN;;;TB SATHAR 13;;0;EA;;;Y;;DEPO 10;ACTIVE;
IT-100145087;412N1126-1;5315-AU-PAC-1093;PIN;;;TB SATHAR 14;;0;EA;;;Y;;DEPO 10;ACTIVE;
IT-100145088;5106CW;6240-01-624-8842;LAMP,FLUORESCENT;;;TB SATHAR 13;;0;EA;;;Y;;DEPO 10;ACTIVE;
IT-100145088;5106CW;6240-01-624-8842;LAMP,FLUORESCENT;;;TB SATHAR 14;;0;EA;;;Y;;DEPO 10;ACTIVE;
IT-100145089;5113CW;6685-AU-PAC-1095;BULB;;;TB SATHAR 13;;0;EA;;;Y;;DEPO 10;ACTIVE;
IT-100145089;5113CW;6685-AU-PAC-1095;BULB;;;TB SATHAR 14;;0;EA;;;Y;;DEPO 10;ACTIVE;
IT-100145090;5462-9;7690-58-001-0135;LABEL;;;TB SATHAR 13;;0;EA;;;Y;;DEPO 10;ACTIVE;
IT-100145090;5462-9;7690-58-001-0135;LABEL;;;TB SATHAR 14;;0;EA;;;Y;;DEPO 10;ACTIVE;
IT-100145106;65C26787Y17;1560-AU-PAC-1098;SEAL KRUEGER FLAP;;;TB SATHAR 13;;0;EA;;;Y;;DEPO 10;ACTIVE;
IT-100145106;65C26787Y17;1560-AU-PAC-1098;SEAL KRUEGER FLAP;;;TB SATHAR 14;;0;EA;;;Y;;DEPO 10;ACTIVE;
IT-100145107;3289562-4;4820-AU-PAC-1099;PREECOOLER CONTROL VALVE;;;TB SATHAR 13;;0;EA;;;Y;;DEPO 10;ACTIVE;
IT-100145107;3289562-4;4820-AU-PAC-1099;PREECOOLER CONTROL VALVE;;;TB SATHAR 14;;0;EA;;;Y;;DEPO 10;ACTIVE;
IT-100145108;3605384-8;2840-01-461-6231;LINER,COMBUSTION CHAMBER,AIRCRAFT GAS TURBINE ENGI;;;TB SATHAR 14;;0;EA;;;Y;;DEPO 10;ACTIVE;
IT-100145108;3605384-8;2840-01-461-6231;LINER,COMBUSTION CHAMBER,AIRCRAFT GAS TURBINE ENGI;;;TB SATHAR 13;;0;EA;;;Y;;DEPO 10;ACTIVE;
IT-100145110;65-59628-17;1620-AU-PAC-4401;FITTING ASSY;;;TB SATHAR 13;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100145110;65-59628-17;1620-AU-PAC-4401;FITTING ASSY;;;TB SATHAR 14;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100145112;M25988-3-217;5331-01-140-9405;O-RING;;;TB SATHAR 14;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100145112;M25988-3-217;5331-01-140-9405;O-RING;;;TB SATHAR 13;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100145113;M25988-1-156;5331-01-119-5932;O-RING;;;TB SATHAR 13;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100145113;M25988-1-156;5331-01-119-5932;O-RING;;;TB SATHAR 14;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100145114;M25988-1-123;5331-00-498-5755;O-RING;;;TB SATHAR 13;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100145114;M25988-1-123;5331-00-498-5755;O-RING;;;TB SATHAR 14;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100145115;MS9068-140;5330-AU-PAC-1108;PACKING;;;TB SATHAR 13;;0;EA;;;Y;;DEPO 10;ACTIVE;
IT-100145115;MS9068-140;5330-AU-PAC-1108;PACKING;;;TB SATHAR 14;;0;EA;;;Y;;DEPO 10;ACTIVE;
IT-100145116;18335-011-10;5330-AU-PAC-1109;SEAL OUTLET GUIDE VANES;;;TB SATHAR 13;;0;EA;;;Y;;DEPO 10;ACTIVE;
IT-100145116;18335-011-10;5330-AU-PAC-1109;SEAL OUTLET GUIDE VANES;;;TB SATHAR 14;;0;EA;;;Y;;DEPO 10;ACTIVE;
IT-100145296;3E2693-6 / 3E2092-6;5995-AU-PAC-8095;HARNEES;;;TB SATHAR 11;TRANSIT;0;;;C-212;N;;DEPO 10;ACTIVE;
IT-100145297;660717226;1610-99-154-6303;HUB,PROPELLER,AIRCRAFT;;;TB SATHAR 11;TRANSIT;0;;;C-212;N;;DEPO 10;ACTIVE;
IT-100145397;660709020;1610-99-577-3914;PROPELLER,AIRCRAFT;;;GPD 10 GD 01;;0;EA;;;Y;;DEPO 10;ACTIVE;
IT-100145397;660709020;1610-99-577-3914;PROPELLER,AIRCRAFT;;;GPD 10 GD 02;;0;EA;;;Y;;DEPO 10;ACTIVE;
IT-100145397;660709020;1610-99-577-3914;PROPELLER,AIRCRAFT;;;GPD 10;;0;EA;;;Y;09/05/2025 17.13;DEPO 10;ACTIVE;
IT-100145404;SM601BA60A1;5925-01-336-7209;CIRCUIT BREAKER;;;GPD 10;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100145419;S-70;1370-AU-PAD-6661;TARGET DRONE;;;GPD 10;;1;EA;;;N;16/01/2024 10.58;DEPO 10;ACTIVE;
IT-100145667;0743621-210;1620-AU-PAF-9771;NOSE GEAR SHOCK STRUT ASSY;;;GPD 10;;0;EA;;;Y;23/04/2024 11.20;DEPO 10;ACTIVE;
IT-100145678;100-01000;5331-AU-PAF-9782;BACKUP RETAINER;;;TB SATHAR 11;;0;EA;;KT-1B;N;;DEPO 10;ACTIVE;
IT-100146369;1353510-02;2840-14-551-4828;VALVE,BLEED,TURBINE ENGINE;;;GPD 10;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100146370;9560176460;2840-14-563-2421;SHIELD,HEAT,AIRCRAFT GAS TURBINE ENGINE;;;GPD 10;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100146385;UNK;166;EMPENAGE ANTI ICING;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100146501;301530160;2840-14-583-9082;NOZZLE,AUGMENTER EXHAUST,AIRCRAFT GAS TURBINE ENGINE;;;GPD 10;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100146982;"C632D0901052; C632D0901052";1615-AU-PAG-0576;MGB MAIN MODULE;;;GPD 10;;0;ASSY;;;N;;DEPO 10;ACTIVE;
IT-100147000;A-2513-92;5306-AU-PAG-0595;BOLT;;;TB SATHAR 11;01B 01B D04;0;EA;;T-41D;N;;DEPO 10;ACTIVE;
IT-100147001;0523554-1;5330-01-611-4591;GASKET;;;TB SATHAR 11;01A 16D 007;0;EA;;T-41D;N;;DEPO 10;ACTIVE;
IT-100147002;0523554-2;5330-01-611-4586;GASKET;;;TB SATHAR 11;01A 16F 010;0;EA;;T-41D;N;;DEPO 10;ACTIVE;
IT-100147005;073-0270;6220-AU-PAG-0598;STROB LIGHT;;;TB SATHAR 11;01B 01B D06;0;EA;;T-41D;N;;DEPO 10;ACTIVE;
IT-100147023;0523552-2;2915-AU-PAG-0614;WELD ASSY TUBE;;;TB SATHAR 11;01A 23B 009;0;AY;;T-41D;N;;DEPO 10;ACTIVE;
IT-100147024;S2359-1;4710-01-608-9694;VALVE;;;TB SATHAR 11;01A 16B 008;0;AY;;T-41D;N;;DEPO 10;ACTIVE;
IT-100147237;A1635-133;5305-01-492-3395;SCREW,MACHINE;;;TB SATHAR 11;01B 01A D06;0;EA;;T-41D;N;;DEPO 10;ACTIVE;
IT-100147273;S1021Z10-8;5305-00-997-3119;SCREW,TAPPING;;;TB SATHAR 11;01B 02B 001;0;EA;;T-41D;N;;DEPO 10;ACTIVE;
IT-100147753;S1450-6B14-010;5310-AU-PAH-2302;WASHER;;;TB SATHAR 11;S1450-6B14-010;0;EA;;01A 17A 011;N;;DEPO 10;ACTIVE;
IT-100147754;NAS1149F0432P;5310;WASHER,FLAT;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100147761;NAS464-3-22;5306-25-129-2964;BOLT TORQUE LINK;;;TB SATHAR 11;IPC 182T 32-20-01/32-20-01-01-;0;EA;;T-41D;N;;DEPO 10;ACTIVE;
IT-100148203;CBS-6-0-N-8S;3460-AU-PAA-0875;SLEEVE;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100148204;CBS-6-0-N-12F;4730-01-316-5511;SLEEVE,FLARED,TUBE FITTING;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100148206;CBS-6-0-N-16S;3460-01-633-4275;SLEEVE,EXPANSION MANDREL;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100148207;CBS-6-0-N-32F;3460-01-388-7728;SLEEVE,EXPANSION MANDREL;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100148208;CBS-6-0-N-33S;3460-AU-PAA-0873;SLEEVE;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100148209;CBS-6-1-N-8S;3460-AU-PAA-0879;SLEEVE;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
